Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
UVXY,1254889,11604,7.12,6400,7.11,7.12,1243391,11498
IEFA,355822,10600,61.87,5700,61.86,61.88,346790,9032
VXX,329673,800,14.43,1600,14.42,14.43,324934,4739
VIXY,315506,1000,11.66,9401,11.65,11.66,313091,2415
UVIX,300123,1800,6.13,7700,6.12,6.13,285263,14860
SVXY,184877,900,58.02,100,58.01,58.00,182603,2274
GOVT,155243,147534,22.92,196700,22.91,22.92,152715,2528
USHY,125215,2300,34.79,8400,34.78,34.79,124829,386
ICSH,110602,24697,50.01,24634,50.00,50.00,67438,43164
EZU,102598,1300,39.60,3100,39.59,39.60,88557,14041
ARKG,98804,300,28.98,200,28.97,28.98,98603,201
INDA,90659,2200,41.09,3100,41.08,41.09,88407,2252
ITB,85046,400,61.10,600,61.08,61.09,84637,409
EFV,57432,1000,46.01,2300,46.00,46.03,56347,1085
MOAT,50015,100,64.74,200,64.72,64.73,50015,0
USMV,49509,300,72.23,739,72.22,72.22,48600,909
AAAU,47041,29400,17.87,10100,17.86,17.79,44491,2550
SVIX,43381,5500,14.37,1700,14.35,14.38,40581,2800
COWZ,40871,700,46.51,200,46.49,46.50,40771,100
FLOT,37938,321,50.23,4210,50.22,50.23,35824,2114
VNM,34967,100,12.10,300,12.09,12.10,34682,285
FGRO,34066,900,12.68,1000,12.66,12.68,34066,0
REM,29029,1100,23.33,500,23.32,23.29,29029,0
QUAL,27546,400,114.22,300,114.19,114.21,27546,0
IGV,26060,100,253.09,100,252.95,253.06,23798,2262
BBAX,25866,100,48.88,100,48.82,48.68,23866,2000
IDV,24238,4300,27.32,900,27.31,27.32,24137,101
HEFA,22353,3800,27.31,2900,27.30,27.31,22153,200
ITM,21774,300,45.67,1000,45.65,45.66,21699,75
TRTY,21141,1700,25.04,1,24.90,24.92,20560,581
HYD,20659,482,51.28,50,51.24,51.23,20159,500
IAGG,20001,1600,47.95,1100,47.94,47.95,19336,665
PSMC,19476,3427,11.94,500,11.93,11.94,19476,0
DFIC,18082,600,22.38,1500,22.37,22.38,17809,273
FRDM,17151,1000,28.49,30,28.41,28.32,17151,0
SMIN,16124,700,49.89,25,49.74,49.76,11814,4310
VUSB,16069,5600,49.01,3900,49.00,49.00,15669,400
EDEN,15707,2800,96.22,1600,95.87,95.96,15707,0
NOBL,15477,100,90.25,500,90.23,90.22,15477,0
ARKQ,14256,50,40.47,100,40.44,40.52,14256,0
BBEU,14138,2200,48.66,1500,48.64,48.65,13438,700
EEMV,13043,500,52.62,100,52.61,52.62,12843,200
ARKX,12662,100,12.17,1800,12.16,12.16,12662,0
EFG,12325,50,84.09,50,84.06,84.08,12325,0
EYLD,12314,15,28.22,151,28.10,28.22,12314,0
PICK,11641,99,41.20,101,41.05,40.84,11641,0
XDEC,11482,500,29.67,200,29.57,29.51,11382,100
PAVE,11053,1000,26.76,900,26.74,26.76,11048,5
MTUM,10638,300,146.26,300,146.22,146.35,10638,0
BBJP,10505,300,45.17,3400,45.15,45.18,10105,400
DISV,10493,1000,22.14,51,22.13,22.15,10043,450
VLUE,10168,100,91.04,500,91.02,91.11,10168,0
IBMO,9401,800,25.21,200,25.19,25.19,8871,530
CALF,9211,1200,36.11,300,36.07,36.01,9211,0
JMST,9049,600,50.57,500,50.56,50.57,8949,100
RSEE,8340,1600,23.99,1600,23.90,24.00,8340,0
GCOW,8069,1000,31.85,394,31.83,31.87,8069,0
